id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
905897,Rental unit in New Orleans · ★4.96 · 1 bedroom · 1 bed · 1 bath,4847397,Scott,Treme - Lafitte,29.96641922,-90.06938934,Entire home/apt,159,30,376,19-11-2023,2.87,2,167
905957,Home in New Orleans · ★4.98 · 1 bedroom · 1 bed · 1 private bath,4848052,Jordan And Justin,Lower Garden District,29.92933,-90.07834,Private room,84,2,51,03-03-2020,0.62,1,0
906101,Rental unit in New Orleans · ★4.81 · 1 bedroom · 1 bed · 1 bath,2671376,Ruby Dee,St. Claude,29.96979,-90.04808,Entire home/apt,69,2,267,26-11-2023,2.03,4,134
908231,Townhouse in New Orleans · ★4.88 · 3 bedrooms · 5 beds · 2 baths,4866349,Dawn,Broadmoor,29.95201,-90.10369,Entire home/apt,311,2,51,07-11-2023,0.53,1,311
910912,Home in New Orleans · ★4.89 · 3 bedrooms · 3 beds · 2 baths,4887507,Roxanne And Tim,Bayou St. John,29.97885,-90.08411,Entire home/apt,364,2,118,26-11-2023,1.06,2,0
914407,Rental unit in New Orleans · ★4.85 · 1 bedroom · 1 bed · 1 private bath,4795675,Adrienne,Garden District,29.92956,-90.08393,Private room,100,1,617,17-11-2023,4.72,3,322
914581,Rental unit in New Orleans · ★4.92 · 1 bedroom · 1 bed · 1 private bath,4795675,Adrienne,Garden District,29.92928,-90.08214,Private room,101,1,543,13-11-2023,4.15,3,316
914617,Rental unit in New Orleans · ★4.87 · 1 bedroom · 1 bed · 1 private bath,4795675,Adrienne,Garden District,29.9294,-90.08436,Private room,120,1,786,22-11-2023,5.96,3,278
917965,Home in New Orleans · ★4.89 · 3 bedrooms · 3 beds · 2.5 baths,4900663,Karen,Lower Garden District,29.93409,-90.07562,Entire home/apt,230,3,226,26-11-2023,1.71,2,0
918511,Rental unit in New Orleans · ★4.94 · 2 bedrooms · 1 bed · 1 bath,4931906,Todd & Kristi,City Park,29.98117,-90.09053,Entire home/apt,135,30,212,16-03-2020,1.61,1,365
921154,Rental unit in New Orleans · ★4.92 · 3 bedrooms · 3 beds · 2 baths,4951914,Thom,Marigny,29.966976,-90.050941,Entire home/apt,164,2,224,25-11-2023,2.56,4,33
